"Course_name","Inst_Name","Alloted_
"COMPUTER ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR","SEBC","GUJCET Based","Govt / GIA","3819.00","4430.00"
"COMPUTER ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR","ST","GUJCET Based","Govt / GIA","25672.00","33623.00"
"COMPUTER ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR","GEN","JEE Based","Govt / GIA","901235.00","901418.00"
"COMPUTER ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR","SC","JEE Based","Govt / GIA","905986.00","905986.00"
"COMPUTER ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR","SEBC","JEE Based","Govt / GIA","901940.00","901969.00"
"COMPUTER ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR","ST","JEE Based","Govt / GIA","915090.00","915090.00"
"COMPUTER ENGINEERING","GUJARAT POWER ENGG. AND RES. INST. (GPERI)
(PPP), MEVAD, MEHSANA","GEN","GUJCET Based","Self-Finance","16102.00","50263.00"
"COMPUTER ENGINEERING","GUJARAT TECHNOLOGICAL UNIVERSITY SCHOOL
OF ENGINEERING AND TECHNOLOGY,
CHANDKHEDA, AHMEDABAD","EWS","GUJCET Based","Self-Finance","8168.00","9863.00"
"COMPUTER ENGINEERING","GUJARAT TECHNOLOGICAL UNIVERSITY SCHOOL
OF ENGINEERING AND TECHNOLOGY,
CHANDKHEDA, AHMEDABAD","GEN","GUJCET Based","Self-Finance","5228.00","7736.00"
"COMPUTER ENGINEERING","GUJARAT TECHNOLOGICAL UNIVERSITY SCHOOL
OF ENGINEERING AND TECHNOLOGY,
CHANDKHEDA, AHMEDABAD","SC","GUJCET Based","Self-Finance","10591.00","17538.00"
"COMPUTER ENGINEERING","GUJARAT TECHNOLOGICAL UNIVERSITY SCHOOL
OF ENGINEERING AND TECHNOLOGY,
CHANDKHEDA, AHMEDABAD","SEBC","GUJCET Based","Self-Finance","9524.00","13667.00"
"COMPUTER ENGINEERING","GYANMANJARI INSTITUTE OF TECHNOLOGY
BHAVNAGAR","GEN","GUJCET Based","Self-Finance","4481.00","50218.00"
"Course_name","Inst_Name","Alloted_
Cat","Quota","Institute Type","First Rank","Last Rank"
"COMPUTER ENGINEERING","HANSABA COLLEGE OF ENGIEERING AND
TECHNOLOGY, SIDDHPUR","GEN","GUJCET Based","Self-Finance","39880.00","50046.00"
"COMPUTER ENGINEERING","HASMUKH GOSWAMI COLLEGE OF ENGG,
VAHELAL","GEN","GUJCET Based","Self-Finance","50097.00","50097.00"
"COMPUTER ENGINEERING","INDUS INSTITUTE OF TECH. & ENGG.,
RACHARDA, AHMEDABAD","GEN","GUJCET Based","Self-Finance","9822.00","39900.00"
"COMPUTER ENGINEERING","INSTITUTE OF ADVANCED RESEARCH,
GANDHINAGAR","EWS","GUJCET Based","Self-Finance","35896.00","39128.00"
"COMPUTER ENGINEERING","INSTITUTE OF ADVANCED RESEARCH,
GANDHINAGAR","GEN","GUJCET Based","Self-Finance","8977.00","33765.00"
"COMPUTER ENGINEERING","INSTITUTE OF ADVANCED RESEARCH,
GANDHINAGAR","SEBC","GUJCET Based","Self-Finance","34492.00","50442.00"
"COMPUTER ENGINEERING","INSTITUTE OF
INFRASTRUCTURE,TECHNOLOGY,RESEARCH AND
MANAGEMENT(IITRAM),AHMEDABAD","EWS","GUJCET Based","Autonomous","2801.00","3092.00"
"COMPUTER ENGINEERING","INSTITUTE OF
INFRASTRUCTURE,TECHNOLOGY,RESEARCH AND
MANAGEMENT(IITRAM),AHMEDABAD","GEN","GUJCET Based","Autonomous","1197.00","2653.00"
"COMPUTER ENGINEERING","INSTITUTE OF
INFRASTRUCTURE,TECHNOLOGY,RESEARCH AND
MANAGEMENT(IITRAM),AHMEDABAD","SC","GUJCET Based","Autonomous","10189.00","10189.00"
"COMPUTER ENGINEERING","INSTITUTE OF
INFRASTRUCTURE,TECHNOLOGY,RESEARCH AND
MANAGEMENT(IITRAM),AHMEDABAD","SEBC","GUJCET Based","Autonomous","4292.00","6321.00"
"COMPUTER ENGINEERING","K.J. INSTITUTE OF ENGG. AND TECH., SAVALI","GEN","GUJCET Based","Self-Finance","17706.00","28476.00"
"COMPUTER ENGINEERING","KANKESHWARI DEVI COLLEGE OF ENGINEERING,
JAMNAGAR","GEN","GUJCET Based","Self-Finance","28724.00","28724.00"
"COMPUTER ENGINEERING","KRISHNA SCHOOL OF TECHNOLOGY, VARNAMA,
VADODARA","GEN","GUJCET Based","Self-Finance","26494.00","50622.00"
"COMPUTER ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","EWS","GUJCET Based","Govt / GIA","735.00","775.00"
"COMPUTER ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","GEN","GUJCET Based","Govt / GIA","70.00","586.00"
"COMPUTER ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","SC","GUJCET Based","Govt / GIA","2783.00","2783.00"
"COMPUTER ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","SEBC","GUJCET Based","Govt / GIA","901.00","1050.00"
"COMPUTER ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ST","GUJCET Based","Govt / GIA","17142.00","17142.00"
"COMPUTER ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","EWS","JEE Based","Govt / GIA","900714.00","900714.00"
"COMPUTER ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","GEN","JEE Based","Govt / GIA","900216.00","900646.00"
"COMPUTER ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","SC","JEE Based","Govt / GIA","902967.00","902967.00"
"COMPUTER ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","SEBC","JEE Based","Govt / GIA","900658.00","900747.00"
"COMPUTER ENGINEERING","L.D.R.P. INSTITUTE OF TECH. & RESEARCH.,
GANDHINAGAR","EWS","GUJCET Based","Self-Finance","25544.00","32703.00"
"COMPUTER ENGINEERING","L.D.R.P. INSTITUTE OF TECH. & RESEARCH.,
GANDHINAGAR","GEN","GUJCET Based","Self-Finance","7016.00","24825.00"
"COMPUTER ENGINEERING","L.D.R.P. INSTITUTE OF TECH. & RESEARCH.,
GANDHINAGAR","SC","GUJCET Based","Self-Finance","27794.00","36782.00"
"COMPUTER ENGINEERING","L.D.R.P. INSTITUTE OF TECH. & RESEARCH.,
GANDHINAGAR","SEBC","GUJCET Based","Self-Finance","25103.00","50422.00"
"COMPUTER ENGINEERING","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","EWS","GUJCET Based","Self-Finance","9109.00","12133.00"
"COMPUTER ENGINEERING","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","GEN","GUJCET Based","Self-Finance","5185.00","9056.00"
"Course_name","Inst_Name","Alloted_
Cat","Quota","Institute Type","First Rank","Last Rank"
"COMPUTER ENGINEERING","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","SC","GUJCET Based","Self-Finance","16360.00","22184.00"
"COMPUTER ENGINEERING","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","SEBC","GUJCET Based","Self-Finance","10696.00","24407.00"
"COMPUTER ENGINEERING","MADHUBEN & BHANUBHAI PATEL INSTITUTE OF
TECHNOLOGY, NEW V.V.NAGAR","EWS","GUJCET Based","Self-Finance","25738.00","36019.00"
"COMPUTER ENGINEERING","MADHUBEN & BHANUBHAI PATEL INSTITUTE OF
TECHNOLOGY, NEW V.V.NAGAR","GEN","GUJCET Based","Self-Finance","6245.00","25092.00"
"COMPUTER ENGINEERING","MADHUBEN & BHANUBHAI PATEL INSTITUTE OF
TECHNOLOGY, NEW V.V.NAGAR","SEBC","GUJCET Based","Self-Finance","28137.00","39412.00"
"COMPUTER ENGINEERING","MAHAVIR SWAMI COLLEGE OF ENGINEERING &
TECHNOLOGY, BHARTHANA-VESU, SURAT","GEN","GUJCET Based","Self-Finance","21125.00","21125.00"
"COMPUTER ENGINEERING","MARWADI EDUCATION FOUNDATION'S GROUP
OF INSTITUTIONS - FACULTY OF ENGINEERING &
TECHNOLOGY, RAJKOT","GEN","GUJCET Based","Self-Finance","9825.00","50470.00"
"COMPUTER ENGINEERING","OM ENGINEERING COLLEGE JUNAGADH","GEN","GUJCET Based","Self-Finance","30011.00","30011.00"
"COMPUTER ENGINEERING","P.P. SAVANI SCHOOL OF ENGINEERING, P.P.
SAVANI UNIVERSITY, KOSAMBA","EWS","GUJCET Based","Self-Finance","33348.00","39614.00"
"COMPUTER ENGINEERING","P.P. SAVANI SCHOOL OF ENGINEERING, P.P.
SAVANI UNIVERSITY, KOSAMBA","GEN","GUJCET Based","Self-Finance","1074.00","32687.00"
"COMPUTER ENGINEERING","P.P. SAVANI SCHOOL OF ENGINEERING, P.P.
SAVANI UNIVERSITY, KOSAMBA","SEBC","GUJCET Based","Self-Finance","36880.00","36880.00"
"COMPUTER ENGINEERING","PACIFIC SCHOOL OF ENGINEERING, SURAT","GEN","GUJCET Based","Self-Finance","27707.00","39955.00"
"COMPUTER ENGINEERING","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","EWS","GUJCET Based","Self-Finance","1039.00","1220.00"
"COMPUTER ENGINEERING","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","GEN","GUJCET Based","Self-Finance","907.00","985.00"
"COMPUTER ENGINEERING","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","SC","GUJCET Based","Self-Finance","6444.00","6444.00"
"COMPUTER ENGINEERING","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","SEBC","GUJCET Based","Self-Finance","2576.00","3707.00"
"COMPUTER ENGINEERING","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","EWS","JEE Based","Self-Finance","901391.00","901511.00"
"COMPUTER ENGINEERING","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","GEN","JEE Based","Self-Finance","900680.00","901244.00"
"COMPUTER ENGINEERING","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","SC","JEE Based","Self-Finance","905121.00","905121.00"
"COMPUTER ENGINEERING","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","SEBC","JEE Based","Self-Finance","901328.00","902556.00"
"COMPUTER ENGINEERING","PARUL INSTITUTE OF TECHNOLOGY,
WAGHODIA, VADODARA","GEN","GUJCET Based","Self-Finance","14301.00","39060.00"
"COMPUTER ENGINEERING","PRIME INSTITUTE OF ENGINEERING AND
TECHNOLOGY, JALALPORE, NAVSARI","GEN","GUJCET Based","Self-Finance","36468.00","36468.00"
"COMPUTER ENGINEERING","R.K. UNIVERSITY - SCHOOL OF ENGINEERING,
RAJKOT","GEN","GUJCET Based","Self-Finance","26209.00","50629.00"
"COMPUTER ENGINEERING","S.P.B. PATEL ENGG. COLLEGE, (SAFFRONY),
LINCH, MEHSANA","GEN","GUJCET Based","Self-Finance","13693.00","50402.00"
"COMPUTER ENGINEERING","S.S.AGRAWAL INSTITUTE OF ENGINEERING &
TECHNOLOGY NAVSARI","GEN","GUJCET Based","Self-Finance","16845.00","22553.00"
"COMPUTER ENGINEERING","S.S.AGRAWAL INSTITUTE OF ENGINEERING &
TECHNOLOGY NAVSARI","SEBC","GUJCET Based","Self-Finance","28330.00","29373.00"
"COMPUTER ENGINEERING","SAL COLLEGE OF ENGINEERING , AHMEDABAD","GEN","GUJCET Based","Self-Finance","5957.00","50344.00"
"COMPUTER ENGINEERING","SAL ENGINEERING &TECHNICAL INSTITUTE,
SOLA, AHMEDABAD","GEN","GUJCET Based","Self-Finance","14558.00","34114.00"
"COMPUTER ENGINEERING","SAL INSTITUTE OF TECH. & ENGG. RESEARCH,
AHMEDABAD","GEN","GUJCET Based","Self-Finance","7569.00","50326.00"
"COMPUTER ENGINEERING","SAL INSTITUTE OF TECH. & ENGG. RESEARCH,
AHMEDABAD","SEBC","GUJCET Based","Self-Finance","50549.00","50549.00"
"Course_name","Inst_Name","Alloted_
Cat","Quota","Institute Type","First Rank","Last Rank"
"COMPUTER ENGINEERING","SANKALCHAND PATEL COLLEGE OF ENGG.,
VISNAGAR","GEN","GUJCET Based","Self-Finance","32769.00","37352.00"
"COMPUTER ENGINEERING","SARDAR PATEL COLLEGE OF ENGINEERING,
BAKROL ANAND","GEN","GUJCET Based","Self-Finance","30582.00","50021.50"
"COMPUTER ENGINEERING","SARDAR VALLABHBHAI PATEL INSTITUTE OF
TECH.,VASAD","EWS","GUJCET Based","Self-Finance","11115.00","15983.00"
"COMPUTER ENGINEERING","SARDAR VALLABHBHAI PATEL INSTITUTE OF
TECH.,VASAD","GEN","GUJCET Based","Self-Finance","4607.00","11066.00"
"COMPUTER ENGINEERING","SARDAR VALLABHBHAI PATEL INSTITUTE OF
TECH.,VASAD","SC","GUJCET Based","Self-Finance","25597.00","27977.00"
"COMPUTER ENGINEERING","SARDAR VALLABHBHAI PATEL INSTITUTE OF
TECH.,VASAD","SEBC","GUJCET Based","Self-Finance","17107.00","27442.00"
"COMPUTER ENGINEERING","SARDAR VALLABHBHAI PATEL INSTITUTE OF
TECH.,VASAD","ST","GUJCET Based","Self-Finance","35694.00","35694.00"
"COMPUTER ENGINEERING","SARVAJANIK COLLEGE OF ENGG. & TECH. ,
SURAT","EWS","GUJCET Based","Self-Finance","6298.00","7444.00"
"COMPUTER ENGINEERING","SARVAJANIK COLLEGE OF ENGG. & TECH. ,
SURAT","GEN","GUJCET Based","Self-Finance","797.00","5404.00"
"COMPUTER ENGINEERING","SARVAJANIK COLLEGE OF ENGG. & TECH. ,
SURAT","SC","GUJCET Based","Self-Finance","18371.00","26127.00"
"COMPUTER ENGINEERING","SARVAJANIK COLLEGE OF ENGG. & TECH. ,
SURAT","SEBC","GUJCET Based","Self-Finance","11034.00","12814.00"
"COMPUTER ENGINEERING","SARVAJANIK COLLEGE OF ENGG. & TECH. ,
SURAT","ST","GUJCET Based","Self-Finance","37787.00","37787.00"
"COMPUTER ENGINEERING","SHREE SWAMINARAYAN INSTITUTE OF
TECHNOLOGY, BHAT, GANDHINAGAR","GEN","GUJCET Based","Self-Finance","17785.00","50582.00"
"COMPUTER ENGINEERING","SHRI SWAMI ATMANAND SARASWATI INSTITUTE
OF TECH., SURAT","EWS","GUJCET Based","Self-Finance","16135.00","16135.00"
"COMPUTER ENGINEERING","SHRI SWAMI ATMANAND SARASWATI INSTITUTE
OF TECH., SURAT","GEN","GUJCET Based","Self-Finance","10172.00","15808.00"
"COMPUTER ENGINEERING","SHRI SWAMI ATMANAND SARASWATI INSTITUTE
OF TECH., SURAT","SEBC","GUJCET Based","Self-Finance","22002.00","30255.00"
"COMPUTER ENGINEERING","SIGMA INSTITUTE OF ENGG., BAKROL","GEN","GUJCET Based","Self-Finance","22607.00","30182.00"
"COMPUTER ENGINEERING","SILVER OAK COLLEGE OF ENGG., & TECH.
(WITHIN AMHEDABAD MUNICIPAL
CORPORATION LIMIT), AHMEDABAD","GEN","GUJCET Based","Self-Finance","30560.00","36179.00"
"COMPUTER ENGINEERING","SMT. S.R. PATEL ENGG. COLLEGE, DABHI, UNJHA","GEN","GUJCET Based","Self-Finance","21858.00","36484.00"
"COMPUTER ENGINEERING","V.V.P. ENGINEERING COLLEGE, RAJKOT","EWS","GUJCET Based","Self-Finance","18033.00","19515.00"
"COMPUTER ENGINEERING","V.V.P. ENGINEERING COLLEGE, RAJKOT","GEN","GUJCET Based","Self-Finance","10042.00","16750.00"
"COMPUTER ENGINEERING","V.V.P. ENGINEERING COLLEGE, RAJKOT","SC","GUJCET Based","Self-Finance","18688.00","30991.00"
"COMPUTER ENGINEERING","V.V.P. ENGINEERING COLLEGE, RAJKOT","SEBC","GUJCET Based","Self-Finance","17440.00","36485.00"
"COMPUTER ENGINEERING","VADODARA INSTITUTE OF ENGINEERING,
KOTAMBI, WAGHODIYA, VADODARA","GEN","GUJCET Based","Self-Finance","33674.00","34184.00"
"COMPUTER ENGINEERING","VIDHYADEEP INSTITUTE OF ENGINEERING &
TECHNOLOGY, ANITA(KIM), SURAT","GEN","GUJCET Based","Self-Finance","29079.00","37397.00"
"COMPUTER ENGINEERING","VIDUSH SOMANY INSTITUTE OF TECH. & RES.,
KADI","GEN","GUJCET Based","Self-Finance","27608.00","31707.00"
"COMPUTER ENGINEERING","VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","EWS","GUJCET Based","Govt / GIA","1413.00","1569.00"
"COMPUTER ENGINEERING","VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","GEN","GUJCET Based","Govt / GIA","1012.00","1396.00"
"COMPUTER ENGINEERING","VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","SEBC","GUJCET Based","Govt / GIA","2118.00","2265.00"
"COMPUTER ENGINEERING","VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","ST","GUJCET Based","Govt / GIA","11852.00","25787.00"
"Course_name","Inst_Name","Alloted_
Cat","Quota","Institute Type","First Rank","Last Rank"
"COMPUTER ENGINEERING","VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","GEN","JEE Based","Govt / GIA","901021.00","901021.00"
"COMPUTER ENGINEERING","VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","SEBC","JEE Based","Govt / GIA","901289.00","901289.00"
"COMPUTER ENGINEERING","VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","ST","JEE Based","Govt / GIA","907675.00","907675.00"
"COMPUTER ENGINEERING -
TFWS","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","TFWs","GUJCET Based","Self-Finance","3381.00","3381.00"
"COMPUTER ENGINEERING -
TFWS","AMRUT INSTITUTE, JUNAGADH","TFWs","GUJCET Based","Self-Finance","30384.00","30384.00"
"COMPUTER ENGINEERING -
TFWS","BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA),
V.V.NAGAR","TFWs","JEE Based","Govt / GIA","901112.00","901112.00"
"COMPUTER ENGINEERING -
TFWS","BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI),
V.V.NAGAR","TFWs","GUJCET Based","Self-Finance","1414.00","1414.00"
"COMPUTER ENGINEERING -
TFWS","C. K. PITHAWALA COLLEGE OF ENGG. & TECH.,
SURAT","TFWs","GUJCET Based","Self-Finance","6619.00","6619.00"
"COMPUTER ENGINEERING -
TFWS","CHAROTAR UNIVERSITY OF SCIENCE &
TECHNOLOGY (CHARUSAT) - DEVANG PATEL
INSTITUTE OF ADVANCE TECHNOLOGY AND
RESEARCH (DEPSTAR), CHANGA","TFWs","GUJCET Based","Self-Finance","1831.00","1831.00"
"COMPUTER ENGINEERING -
TFWS","DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","TFWs","GUJCET Based","Govt / GIA","323.00","323.00"
"COMPUTER ENGINEERING -
TFWS","FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","TFWs","GUJCET Based","Govt / GIA","112.00","112.00"
"COMPUTER ENGINEERING -
TFWS","G.H.PATEL COLLEGE OF ENGG. & TECH. , V. V.
NAGAR","TFWs","GUJCET Based","Self-Finance","1848.00","1848.00"
"COMPUTER ENGINEERING -
TFWS","GANPAT UNIVERSITY, U.V.PATEL COLLEGE OF
ENGINEERING, KHERVA, MEHSANA","TFWs","GUJCET Based","Self-Finance","6440.00","6440.00"
"COMPUTER ENGINEERING -
TFWS","GOVERNMENT ENGINEERING COLLEGE, DAHOD","TFWs","GUJCET Based","Govt / GIA","12413.00","12413.00"
"COMPUTER ENGINEERING -
TFWS","GOVERNMENT ENGINEERING COLLEGE,
MODASA","TFWs","GUJCET Based","Govt / GIA","7360.00","7360.00"
"COMPUTER ENGINEERING -
TFWS","GOVERNMENT ENGINEERING COLLEGE,
PALANPUR","TFWs","GUJCET Based","Govt / GIA","7476.00","11693.00"
"COMPUTER ENGINEERING -
TFWS","GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR","TFWs","GUJCET Based","Govt / GIA","2254.00","2303.00"
"COMPUTER ENGINEERING -
TFWS","GUJARAT TECHNOLOGICAL UNIVERSITY SCHOOL
OF ENGINEERING AND TECHNOLOGY,
CHANDKHEDA, AHMEDABAD","TFWs","GUJCET Based","Self-Finance","2651.00","2651.00"
"COMPUTER ENGINEERING -
TFWS","INDUS INSTITUTE OF TECH. & ENGG.,
RACHARDA, AHMEDABAD","TFWs","GUJCET Based","Self-Finance","7392.00","7392.00"
"COMPUTER ENGINEERING -
TFWS","INSTITUTE OF ADVANCED RESEARCH,
GANDHINAGAR","TFWs","GUJCET Based","Self-Finance","7353.00","7697.00"
"COMPUTER ENGINEERING -
TFWS","INSTITUTE OF
INFRASTRUCTURE,TECHNOLOGY,RESEARCH AND
MANAGEMENT(IITRAM),AHMEDABAD","TFWs","GUJCET Based","Autonomous","1229.00","1229.00"
"COMPUTER ENGINEERING -
TFWS","KRISHNA SCHOOL OF TECHNOLOGY, VARNAMA,
VADODARA","TFWs","GUJCET Based","Self-Finance","18268.00","18268.00"
"COMPUTER ENGINEERING -
TFWS","L.D.R.P. INSTITUTE OF TECH. & RESEARCH.,
GANDHINAGAR","TFWs","GUJCET Based","Self-Finance","2071.00","6289.00"
"COMPUTER ENGINEERING -
TFWS","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","TFWs","GUJCET Based","Self-Finance","2863.00","2863.00"
"COMPUTER ENGINEERING -
TFWS","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","TFWs","GUJCET Based","Self-Finance","191.00","191.00"
"COMPUTER ENGINEERING -
TFWS","SAL COLLEGE OF ENGINEERING , AHMEDABAD","TFWs","GUJCET Based","Self-Finance","5776.00","5776.00"
"COMPUTER ENGINEERING -
TFWS","SAL ENGINEERING &TECHNICAL INSTITUTE,
SOLA, AHMEDABAD","TFWs","GUJCET Based","Self-Finance","5283.00","5283.00"
"Course_name","Inst_Name","Alloted_
Cat","Quota","Institute Type","First Rank","Last Rank"
"COMPUTER ENGINEERING -
TFWS","SAL INSTITUTE OF TECH. & ENGG. RESEARCH,
AHMEDABAD","TFWs","GUJCET Based","Self-Finance","6984.00","8387.00"
"COMPUTER ENGINEERING -
TFWS","SARDAR VALLABHBHAI PATEL INSTITUTE OF
TECH.,VASAD","TFWs","GUJCET Based","Self-Finance","5281.00","5281.00"
"COMPUTER ENGINEERING -
TFWS","SHROFF S.R.ROTARY INST. OF CHEMICAL
TECHNOLOGY, VATATIA,BHARUCH","TFWs","GUJCET Based","Self-Finance","17221.00","17221.00"
"COMPUTER ENGINEERING -
TFWS","SIGMA INSTITUTE OF ENGG., BAKROL","TFWs","GUJCET Based","Self-Finance","19961.00","28205.00"
"COMPUTER ENGINEERING -
TFWS","V.V.P. ENGINEERING COLLEGE, RAJKOT","TFWs","GUJCET Based","Self-Finance","2960.00","2960.00"
"COMPUTER ENGINEERING -
TFWS","VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","TFWs","GUJCET Based","Govt / GIA","935.00","935.00"
"COMPUTER ENGINEERING -
TFWS","VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","TFWs","JEE Based","Govt / GIA","900227.00","900227.00"
"COMPUTER ENGINEERING
& APPLICATION","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","GEN","GUJCET Based","Self-Finance","19970.00","50013.00"
"COMPUTER ENGINEERING
& APPLICATION - TFWS","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","TFWs","GUJCET Based","Self-Finance","6457.00","6457.00"
"COMPUTER ENGINEERING
(ARTIFICIAL INTELLIGENCE
AND MACHINE LEARNING)","BHAGWAN MAHAVIR COLLEGE OF ENGG. AND
TECH., SURAT","GEN","GUJCET Based","Self-Finance","39694.00","39694.00"
"COMPUTER ENGINEERING
(ARTIFICIAL INTELLIGENCE
AND MACHINE LEARNING)","SILVER OAK COLLEGE OF ENGG., & TECH.
(WITHIN AMHEDABAD MUNICIPAL
CORPORATION LIMIT), AHMEDABAD","GEN","GUJCET Based","Self-Finance","21861.00","50312.00"
"COMPUTER ENGINEERING
(ARTIFICIAL INTELLIGENCE
AND MACHINE LEARNING)","VIDHYADEEP INSTITUTE OF ENGINEERING &
TECHNOLOGY, ANITA(KIM), SURAT","GEN","GUJCET Based","Self-Finance","22427.00","22427.00"
"COMPUTER ENGINEERING
(ARTIFICIAL INTELLIGENCE
AND MACHINE LEARNING) -
TFWS","BHAGWAN MAHAVIR COLLEGE OF ENGG. AND
TECH., SURAT","TFWs","GUJCET Based","Self-Finance","27671.00","27671.00"
"COMPUTER ENGINEERING
(ARTIFICIAL INTELLIGENCE
AND MACHINE LEARNING) -
TFWS","SILVER OAK COLLEGE OF ENGG., & TECH.
(WITHIN AMHEDABAD MUNICIPAL
CORPORATION LIMIT), AHMEDABAD","TFWs","GUJCET Based","Self-Finance","17830.00","20075.00"
"COMPUTER ENGINEERING
(ARTIFICIAL INTELLIGENCE)","GANPAT UNIVERSITY, U.V.PATEL COLLEGE OF
ENGINEERING, KHERVA, MEHSANA","GEN","GUJCET Based","Self-Finance","7693.00","27053.00"
"COMPUTER ENGINEERING
(ARTIFICIAL INTELLIGENCE)","KRISHNA SCHOOL OF TECHNOLOGY, VARNAMA,
VADODARA","GEN","GUJCET Based","Self-Finance","21223.00","21223.00"
"COMPUTER ENGINEERING
(ARTIFICIAL INTELLIGENCE)","MARWADI EDUCATION FOUNDATION'S GROUP
OF INSTITUTIONS - FACULTY OF ENGINEERING &
TECHNOLOGY, RAJKOT","GEN","GUJCET Based","Self-Finance","10258.00","31818.00"
"COMPUTER ENGINEERING
(CLOUD TECH. & INFO.SEC.)","ITM VOCATIONAL UNIVERSITY, WAGHODIA,
DIST: VADODARA","GEN","GUJCET Based","Self-Finance","29109.00","36174.00"
"Course_name","Inst_Name","Alloted_
Cat","Quota","Institute Type","First Rank","Last Rank"
"COMPUTER ENGINEERING
(DATA SCIENCE)","BHAGWAN MAHAVIR COLLEGE OF ENGG. AND
TECH., SURAT","GEN","GUJCET Based","Self-Finance","26888.00","34045.00"
"COMPUTER ENGINEERING
(DATA SCIENCE)","ITM VOCATIONAL UNIVERSITY, WAGHODIA,
DIST: VADODARA","GEN","GUJCET Based","Self-Finance","11152.00","35636.00"
"COMPUTER ENGINEERING
(DATA SCIENCE) - TFWS","BHAGWAN MAHAVIR COLLEGE OF ENGG. AND
TECH., SURAT","TFWs","GUJCET Based","Self-Finance","17987.00","17987.00"
"COMPUTER ENGINEERING
(SOFTWARE ENGINEERING)","ASHA M. TARSADIA INSTITUTE OF COMPUTER
SCIENCE & TECH. BARDOLI","GEN","GUJCET Based","Self-Finance","31418.00","31418.00"
"COMPUTER SCIENCE &
BIOSCIENCES","ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY
(WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD","GEN","GUJCET Based","Self-Finance","5441.00","5441.00"
